Date,10-2s,GDP,Vix1-Vix2,SPY Shifted
2/28/2008,1.84,0.6,0.73,132.78
3/27/2008,1.83,0.6,-0.41,138.26
4/30/2008,1.48,0.6,4.15,128.23
6/26/2008,1.39,2.7,-1.7,126.83
7/31/2008,1.47,1.9,0.88,130.19
8/28/2008,1.42,3.3,7.49,120.85
9/26/2008,1.74,2.8,-8.32,96.3
10/30/2008,2.41,-0.3,-20.03,85.66
11/25/2008,1.96,-0.5,-8.47,86.16
12/23/2008,1.28,-0.5,0.54,82.83
1/30/2009,1.93,-3.8,-6.12,73.93
2/27/2009,2.02,-6.2,-0.79,83.11
3/26/2009,1.86,-6.3,-2.65,87.39
4/29/2009,2.18,-6.1,0.96,92.53
5/29/2009,2.55,-5.7,3.95,92.08
6/25/2009,2.43,-5.5,3.77,98.81
7/31/2009,2.39,-1.0,8.99,103.4
8/27/2009,2.43,-1.0,9.01,105.59
9/30/2009,2.36,-0.7,6.27,106.65
10/29/2009,2.55,3.5,2.79,110.99
11/24/2009,2.59,2.8,14.79,111.73
12/22/2009,2.81,2.2,10.6,107.39
1/29/2010,2.81,5.7,2.64,110.74
2/26/2010,2.8,5.9,15.23,116.58
3/26/2010,2.82,5.6,8.79,118.81
4/30/2010,2.72,3.2,6.25,110.76
5/27/2010,2.47,3.0,4.38,107.87
6/25/2010,2.47,2.7,1.85,110.27
7/30/2010,2.39,2.4,12.18,106.86
8/27/2010,2.1,1.6,11.98,114.13
9/30/2010,2.11,1.7,10.61,118.49
10/29/2010,2.29,2.0,11.26,118.45
11/23/2010,2.32,2.5,16.18,125.78
12/22/2010,2.71,2.6,19.93,127.72
1/28/2011,2.82,3.2,6.46,132.33
2/25/2011,2.7,2.8,4.96,131.3
3/25/2011,2.67,3.1,6.31,136.11
4/28/2011,2.72,1.8,9.85,133.0
5/26/2011,2.59,1.8,10.6,126.81
6/24/2011,2.53,1.9,2.33,129.33
7/29/2011,2.46,1.3,0.0,117.97
8/26/2011,1.99,1.0,-8.82,116.05
9/29/2011,1.72,1.3,-8.56,128.53
10/27/2011,2.11,2.5,-1.53,119.19
11/22/2011,1.68,2.0,4.8,125.27
12/22/2011,1.69,1.8,3.59,131.82
1/27/2012,1.71,2.8,10.17,137.02
2/29/2012,1.68,3.0,14.24,140.23
3/29/2012,1.85,3.0,14.34,140.39
4/27/2012,1.7,2.2,11.7,131.47
5/31/2012,1.32,1.9,5.12,132.79
6/28/2012,1.29,1.9,9.04,138.68
7/27/2012,1.33,1.5,11.14,141.51
8/29/2012,1.39,1.7,12.52,144.64
9/27/2012,1.41,1.3,10.06,141.35
10/26/2012,1.48,2.0,3.28,142.12
11/29/2012,1.37,2.7,11.35,145.12
12/20/2012,1.53,3.1,3.43,150.07
1/30/2013,1.76,-0.1,4.03,151.61
2/28/2013,1.64,0.1,3.28,156.67
3/28/2013,1.62,0.4,9.65,158.24
4/26/2013,1.48,2.5,5.62,165.83
5/30/2013,1.82,2.4,7.34,160.14
6/26/2013,2.16,1.8,3.98,168.71
7/31/2013,2.29,1.7,10.89,164.17
8/29/2013,2.36,2.5,3.46,169.69
9/26/2013,2.32,2.5,7.71,174.93
11/7/2013,2.34,2.8,8.16,178.94
12/5/2013,2.58,3.6,6.54,181.56
12/20/2013,2.52,4.1,6.86,179.23
1/30/2014,2.36,3.2,-0.42,186.29
2/28/2014,2.33,2.4,3.02,184.58
3/27/2014,2.24,2.6,4.46,188.31
4/30/2014,2.25,0.1,4.67,192.37
5/29/2014,2.08,-1.0,10.57,195.58
6/25/2014,2.09,-2.9,7.37,196.98
7/30/2014,2.01,4.0,5.54,200.14
8/28/2014,1.84,4.2,5.88,197.9
9/26/2014,1.95,4.6,3.59,199.38
10/30/2014,1.84,3.5,1.24,207.11
11/25/2014,1.76,3.9,9.0,207.75
12/23/2014,1.53,5.0,5.02,199.45
1/30/2015,1.21,2.6,-3.56,210.66
2/27/2015,1.37,2.2,9.78,205.74
3/27/2015,1.37,2.2,8.92,210.57
4/29/2015,1.5,0.2,9.3,211.14
