Date,Time,Open,High,Low,Close,Up,Down
01/02/2004,17:00,1056.0,1063.0,1048.5,1053.75,221704,231085
01/05/2004,17:00,1053.75,1066.5,1053.75,1064.5,336477,274172
01/06/2004,17:00,1064.75,1068.5,1060.5,1067.0,264710,255860
01/07/2004,17:00,1067.0,1071.75,1059.75,1070.75,313843,309125
01/08/2004,17:00,1070.75,1075.5,1068.75,1074.75,337985,320260
01/09/2004,17:00,1074.75,1076.0,1064.0,1065.25,414281,450950
01/12/2004,17:00,1064.5,1074.25,1063.25,1074.0,338390,295829
01/13/2004,17:00,1073.75,1073.75,1058.75,1066.0,360875,378858
01/14/2004,17:00,1066.25,1077.5,1064.25,1071.75,285231,259930
01/15/2004,17:00,1073.0,1081.5,1068.0,1078.0,443928,415089
01/16/2004,17:00,1078.0,1084.0,1077.0,1083.75,284098,286435
01/19/2004,17:00,1082.75,1085.75,1080.5,1081.25,6304,6307
01/20/2004,17:00,1082.25,1087.25,1079.0,1082.5,274371,274745
01/21/2004,17:00,1081.75,1093.75,1077.75,1092.0,355947,327791
01/22/2004,17:00,1092.25,1094.25,1085.0,1086.0,269773,286926
01/23/2004,17:00,1085.5,1094.25,1080.25,1085.0,309985,324918
01/26/2004,17:00,1085.0,1100.0,1083.0,1097.5,322175,270761
01/27/2004,17:00,1098.0,1099.0,1086.5,1087.0,301130,350924
01/28/2004,17:00,1087.25,1093.0,1069.75,1074.0,389401,432260
01/29/2004,17:00,1073.5,1078.75,1065.75,1075.75,448290,438743
01/30/2004,17:00,1076.75,1077.25,1071.0,1075.5,276390,303785
02/02/2004,17:00,1075.25,1087.25,1071.5,1079.25,346130,330569
02/03/2004,17:00,1079.25,1081.5,1074.5,1075.5,283359,315049
02/04/2004,17:00,1074.0,1077.5,1067.0,1068.25,365820,398034
02/05/2004,17:00,1068.5,1075.25,1067.5,1071.75,285163,293904
02/06/2004,17:00,1071.25,1087.0,1070.0,1084.5,335606,309328
02/09/2004,17:00,1084.25,1088.75,1082.75,1084.75,232282,241339
02/10/2004,17:00,1084.75,1091.75,1082.5,1088.25,258687,246504
02/11/2004,17:00,1088.5,1103.75,1086.25,1100.75,394700,340533
02/12/2004,17:00,1100.75,1102.5,1095.5,1097.0,219587,228582
02/13/2004,17:00,1097.0,1101.75,1087.0,1090.5,247491,283656
02/16/2004,17:00,1090.5,1093.25,1090.25,1093.0,3145,2468
02/17/2004,17:00,1093.0,1103.75,1092.5,1102.75,255912,208662
02/18/2004,17:00,1102.5,1103.75,1093.25,1098.0,247081,289143
02/19/2004,17:00,1098.5,1103.5,1090.25,1091.75,306053,337035
02/20/2004,17:00,1090.75,1096.0,1082.75,1088.75,326468,350893
02/23/2004,17:00,1089.0,1092.5,1081.0,1085.5,300394,311888
02/24/2004,17:00,1085.5,1089.25,1078.25,1083.75,367386,373793
02/25/2004,17:00,1084.0,1090.0,1082.0,1088.75,288092,268021
02/26/2004,17:00,1089.25,1092.25,1082.75,1088.75,266236,260531
02/27/2004,17:00,1089.0,1097.0,1085.5,1090.25,287688,303831
03/01/2004,17:00,1089.25,1102.5,1089.25,1101.5,275275,249182
03/02/2004,17:00,1101.25,1101.5,1091.5,1093.25,272214,311313
03/03/2004,17:00,1093.75,1097.75,1088.25,1095.0,324061,309011
03/04/2004,17:00,1094.75,1100.25,1094.25,1099.5,206358,192397
03/05/2004,17:00,1098.5,1108.75,1091.5,1102.75,512138,519379
03/08/2004,17:00,1103.0,1105.0,1088.25,1089.75,288185,327905
03/09/2004,17:00,1089.0,1092.0,1081.25,1084.25,379802,393195
03/10/2004,17:00,1083.5,1086.75,1063.5,1064.75,402017,482216
03/11/2004,17:00,1064.25,1071.25,1049.0,1050.75,466148,514388
03/12/2004,17:00,1050.75,1065.75,1047.0,1064.5,351301,329918
03/15/2004,17:00,1063.25,1064.75,1047.5,1051.0,481630,525170
03/16/2004,17:00,1051.0,1059.0,1047.0,1055.5,426275,405645
03/17/2004,17:00,1056.0,1071.0,1055.5,1069.0,336527,312755
03/18/2004,17:00,1068.75,1072.5,1057.5,1069.0,392295,402177
03/19/2004,17:00,1069.5,1073.25,1052.5,1053.25,295826,350289
03/22/2004,17:00,1053.5,1053.5,1033.5,1039.25,467655,507053
03/23/2004,17:00,1039.0,1046.25,1034.25,1035.25,367352,387583
03/24/2004,17:00,1035.75,1043.5,1030.75,1036.75,416076,409753
03/25/2004,17:00,1037.0,1055.25,1036.75,1052.5,347825,314639
03/26/2004,17:00,1052.5,1060.0,1050.25,1052.5,267973,284641
03/29/2004,17:00,1052.0,1069.5,1052.0,1067.0,356750,314075
03/30/2004,17:00,1067.0,1072.75,1063.5,1071.5,281827,278972
03/31/2004,17:00,1071.75,1075.75,1065.75,1072.75,342728,351841
04/01/2004,17:00,1072.75,1080.75,1069.5,1078.5,328699,309500
04/02/2004,17:00,1079.5,1091.0,1078.0,1088.5,401630,368582
04/05/2004,17:00,1087.5,1095.5,1084.0,1094.25,250694,230242
04/06/2004,17:00,1093.25,1094.25,1087.5,1088.5,228614,243300
04/07/2004,17:00,1088.5,1100.5,1083.0,1093.5,309025,325755
04/08/2004,17:00,1093.25,1096.0,1079.0,1085.5,291779,338657
04/12/2004,17:00,1085.0,1092.5,1082.0,1091.0,199157,186399
04/13/2004,17:00,1090.75,1096.0,1071.75,1072.25,379806,451006
04/14/2004,17:00,1071.75,1078.0,1066.75,1077.0,499354,470794
04/15/2004,17:00,1077.25,1079.5,1065.0,1068.75,426888,456095
04/16/2004,17:00,1068.75,1082.0,1068.5,1079.5,339346,333993
04/19/2004,17:00,1078.5,1081.25,1074.25,1079.0,253785,254053
04/20/2004,17:00,1078.5,1084.5,1059.25,1062.25,358980,421027
04/21/2004,17:00,1062.75,1071.25,1060.25,1071.25,423814,432092
04/22/2004,17:00,1069.0,1088.25,1064.25,1086.0,466338,386895
04/23/2004,17:00,1086.5,1088.0,1079.25,1085.25,253607,251641
04/26/2004,17:00,1084.25,1090.25,1077.0,1084.5,270710,285840
04/27/2004,17:00,1084.0,1092.25,1080.75,1083.25,365019,377832
04/28/2004,17:00,1083.25,1084.25,1066.0,1068.25,389922,447167
04/29/2004,17:00,1068.5,1074.0,1052.5,1060.25,547155,598410
04/30/2004,17:00,1059.75,1065.0,1049.75,1050.75,396763,417386
05/03/2004,17:00,1051.25,1064.0,1050.25,1062.5,318791,292344
05/04/2004,17:00,1062.25,1073.5,1057.5,1061.5,375560,406295
05/05/2004,17:00,1061.5,1070.5,1058.5,1067.25,322838,341146
05/06/2004,17:00,1067.5,1068.25,1050.75,1058.5,379810,403263
05/07/2004,17:00,1058.0,1063.0,1040.5,1040.5,466844,512860
05/10/2004,17:00,1041.0,1043.0,1024.0,1029.5,610155,623962
05/11/2004,17:00,1029.0,1041.25,1027.25,1039.25,390965,365909
05/12/2004,17:00,1035.25,1045.75,1021.25,1044.75,591441,591024
05/13/2004,17:00,1044.75,1048.5,1036.75,1040.75,434471,431617
05/14/2004,17:00,1040.5,1048.0,1031.75,1040.25,430365,423795
05/17/2004,17:00,1040.0,1040.75,1024.25,1031.25,412604,408141
05/18/2004,17:00,1031.25,1040.5,1030.5,1036.75,330633,315531
05/19/2004,17:00,1036.75,1051.75,1030.25,1030.75,481639,545995
05/20/2004,17:00,1030.75,1038.75,1030.5,1036.0,332241,325021
05/21/2004,17:00,1035.5,1045.75,1035.0,1038.75,340419,330921
05/24/2004,17:00,1038.75,1047.75,1037.0,1043.25,350089,375568
05/25/2004,17:00,1043.0,1059.75,1036.0,1058.5,498137,413305
05/26/2004,17:00,1058.75,1063.0,1054.75,1062.0,313064,286827
05/27/2004,17:00,1062.25,1070.5,1060.5,1068.75,357829,348773
