Date,Time,Open,High,Low,Close,Vol,OI
12/11/2017,17:00:00,18060.00000,18060.00000,18060.00000,18060.00000,0,0
12/12/2017,17:00:00,18640.00000,18640.00000,18640.00000,18640.00000,0,0
12/13/2017,17:00:00,18810.00000,18810.00000,18810.00000,18810.00000,0,0
12/14/2017,17:00:00,18355.00000,18355.00000,18355.00000,18355.00000,0,0
12/15/2017,17:00:00,19445.00000,21045.00000,19445.00000,21045.00000,0,0
12/18/2017,17:00:00,22195.00000,22195.00000,19890.00000,20645.00000,1054,215
12/19/2017,17:00:00,20680.00000,21270.00000,18725.00000,19745.00000,559,231
12/20/2017,17:00:00,19290.00000,19895.00000,17980.00000,18585.00000,784,306
12/21/2017,17:00:00,17945.00000,18815.00000,16625.00000,16875.00000,879,407
12/22/2017,17:00:00,17140.00000,17370.00000,13810.00000,15680.00000,2374,489
12/26/2017,17:00:00,15445.00000,17645.00000,15245.00000,17330.00000,406,491
12/27/2017,17:00:00,17200.00000,18090.00000,16005.00000,16235.00000,507,493
12/28/2017,17:00:00,16695.00000,16825.00000,14905.00000,15290.00000,746,566
12/29/2017,17:00:00,15510.00000,16550.00000,15380.00000,16015.00000,1078,498
01/02/2018,17:00:00,15500.00000,16790.00000,14625.00000,16400.00000,734,596
01/03/2018,17:00:00,16445.00000,16995.00000,16195.00000,16520.00000,719,611
01/04/2018,17:00:00,16470.00000,17015.00000,15750.00000,16445.00000,760,642
01/05/2018,17:00:00,16630.00000,18390.00000,16415.00000,18135.00000,814,671
01/08/2018,17:00:00,17970.00000,18000.00000,15415.00000,16450.00000,958,642
01/09/2018,17:00:00,16220.00000,16910.00000,15730.00000,16295.00000,863,665
01/10/2018,17:00:00,15950.00000,16265.00000,15025.00000,15995.00000,887,690
01/11/2018,17:00:00,16045.00000,16455.00000,14365.00000,14930.00000,1298,727
01/12/2018,17:00:00,14545.00000,15625.00000,14395.00000,15490.00000,787,748
01/16/2018,17:00:00,15145.00000,15825.00000,12705.00000,12705.00000,2552,730
01/17/2018,17:00:00,12735.00000,13345.00000,10770.00000,12490.00000,2657,696
01/18/2018,17:00:00,12670.00000,13620.00000,12190.00000,13360.00000,1708,618
01/19/2018,17:00:00,12880.00000,13575.00000,12535.00000,12905.00000,979,560
01/22/2018,17:00:00,12845.00000,13375.00000,11500.00000,11900.00000,1137,509
01/23/2018,17:00:00,12170.00000,12895.00000,11410.00000,12640.00000,1241,410
01/24/2018,17:00:00,12335.00000,13000.00000,11980.00000,12660.00000,838,283
01/25/2018,17:00:00,12955.00000,13165.00000,12335.00000,12705.00000,380,830
01/26/2018,17:00:00,12565.00000,13125.00000,11755.00000,12470.00000,573,820
01/29/2018,17:00:00,13015.00000,13280.00000,12475.00000,12675.00000,463,867
01/30/2018,17:00:00,12625.00000,12750.00000,11225.00000,11445.00000,1137,849
01/31/2018,17:00:00,11505.00000,11780.00000,11005.00000,11505.00000,842,866
02/01/2018,17:00:00,11525.00000,11680.00000,9985.00000,10595.00000,2535,1082
02/02/2018,17:00:00,10395.00000,10580.00000,9255.00000,10090.00000,2535,1010
02/05/2018,17:00:00,9810.00000,9820.00000,8375.00000,8765.00000,2186,1228
02/06/2018,17:00:00,8355.00000,9425.00000,7475.00000,9055.00000,2234,1315
02/07/2018,17:00:00,9125.00000,10045.00000,8740.00000,9750.00000,1379,1402
02/08/2018,17:00:00,9295.00000,10195.00000,9150.00000,9830.00000,764,1277
02/09/2018,17:00:00,9670.00000,10275.00000,9220.00000,10115.00000,764,1277
02/12/2018,17:00:00,9885.00000,10425.00000,9580.00000,10365.00000,679,1170
02/13/2018,17:00:00,10430.00000,10505.00000,9840.00000,10205.00000,550,1104
02/14/2018,17:00:00,10010.00000,10895.00000,10010.00000,10795.00000,944,1159
02/15/2018,17:00:00,10905.00000,11685.00000,10880.00000,11595.00000,1783,940
02/16/2018,17:00:00,11595.00000,11770.00000,11180.00000,11525.00000,1101,877
02/20/2018,17:00:00,12565.00000,13265.00000,12565.00000,13240.00000,2080,594
02/21/2018,17:00:00,12745.00000,12845.00000,11725.00000,11875.00000,1326,459
02/22/2018,17:00:00,12005.00000,12370.00000,11265.00000,11600.00000,530,1284
02/23/2018,17:00:00,11385.00000,11845.00000,11035.00000,11455.00000,1473,1407
02/26/2018,17:00:00,11185.00000,11895.00000,10775.00000,11755.00000,745,1441
02/27/2018,17:00:00,11810.00000,12380.00000,11605.00000,12165.00000,761,1469
02/28/2018,17:00:00,12170.00000,12510.00000,11835.00000,12150.00000,1130,1387
03/01/2018,17:00:00,11955.00000,12605.00000,11725.00000,12570.00000,748,1332
03/02/2018,17:00:00,12540.00000,12720.00000,12265.00000,12565.00000,748,1332
03/05/2018,17:00:00,12855.00000,13205.00000,12845.00000,13120.00000,990,1479
03/06/2018,17:00:00,13100.00000,13160.00000,12075.00000,12155.00000,1580,1449
03/07/2018,17:00:00,12240.00000,12385.00000,10890.00000,11295.00000,1888,1460
03/08/2018,17:00:00,11475.00000,11605.00000,10610.00000,10905.00000,2524,1410
03/09/2018,17:00:00,10855.00000,10950.00000,9895.00000,10520.00000,2742,1436
03/12/2018,17:00:00,10995.00000,11445.00000,10240.00000,10415.00000,2732,1395
03/13/2018,17:00:00,10670.00000,11020.00000,10330.00000,10575.00000,3375,1361
03/14/2018,17:00:00,10410.00000,10900.00000,9690.00000,9780.00000,2638,1268
03/15/2018,17:00:00,9510.00000,9955.00000,9205.00000,9740.00000,3065,1280
03/16/2018,17:00:00,9845.00000,10145.00000,9390.00000,10060.00000,3065,1274
03/19/2018,17:00:00,9780.00000,10225.00000,9605.00000,9905.00000,2746,1246
03/20/2018,17:00:00,9925.00000,10530.00000,9825.00000,10450.00000,2050,1170
03/21/2018,17:00:00,10495.00000,10690.00000,10280.00000,10395.00000,1829,1130
03/22/2018,17:00:00,10410.00000,10600.00000,10005.00000,10135.00000,2123,1039
