Date,Time,Open,High,Low,Close,Vol,OI
09/12/1997,17:00:00,1070.5,1089.0,1066.0,1071.25,9759,4059
09/15/1997,17:00:00,1086.0,1092.25,1081.5,1083.75,8551,3818
09/16/1997,17:00:00,1083.75,1112.5,1082.75,1108.5,11749,5314
09/17/1997,17:00:00,1108.5,1115.0,1104.0,1108.5,10849,5516
09/18/1997,17:00:00,1108.25,1123.0,1107.25,1110.5,11588,6122
09/19/1997,17:00:00,1112.5,1115.75,1105.5,1113.5,9880,5836
09/22/1997,17:00:00,1112.75,1124.5,1112.75,1118.5,12076,5993
09/23/1997,17:00:00,1117.75,1119.75,1109.0,1115.0,10148,5679
09/24/1997,17:00:00,1114.0,1123.0,1104.5,1106.0,14580,6194
09/25/1997,17:00:00,1106.25,1110.0,1098.0,1099.25,14114,6132
09/26/1997,17:00:00,1099.0,1109.0,1099.0,1106.0,12049,5666
09/29/1997,17:00:00,1105.75,1117.0,1102.75,1114.5,11104,5722
09/30/1997,17:00:00,1113.5,1117.75,1105.25,1107.25,15239,5864
10/01/1997,17:00:00,1108.0,1119.0,1107.0,1115.75,14015,5725
10/02/1997,17:00:00,1115.75,1122.0,1113.5,1121.25,9650,5132
10/03/1997,17:00:00,1121.75,1138.0,1114.25,1127.75,13273,6276
10/06/1997,17:00:00,1132.5,1136.25,1129.25,1133.25,8704,6372
10/07/1997,17:00:00,1132.75,1144.75,1130.0,1142.0,11618,7345
10/08/1997,17:00:00,1142.0,1144.25,1127.25,1134.5,16119,7885
10/09/1997,17:00:00,1132.75,1135.75,1121.75,1130.5,9275,8003
10/10/1997,17:00:00,1131.5,1133.5,1116.5,1129.25,6506,8061
10/13/1997,17:00:00,1129.25,1134.25,1126.5,1129.0,3805,8576
10/14/1997,17:00:00,1128.75,1134.0,1121.0,1129.75,11923,9618
10/15/1997,17:00:00,1128.25,1129.25,1120.5,1126.0,9715,10107
10/16/1997,17:00:00,1126.0,1133.75,1107.75,1111.75,12998,11013
10/17/1997,17:00:00,1111.5,1112.5,1088.0,1102.25,13452,11763
10/20/1997,17:00:00,1101.0,1115.5,1097.5,1114.75,11527,11917
10/21/1997,17:00:00,1116.0,1133.0,1114.5,1131.5,10576,12755
10/22/1997,17:00:00,1131.5,1133.0,1123.0,1126.5,10172,12717
10/23/1997,17:00:00,1125.5,1126.75,1100.0,1108.5,13536,13601
10/24/1997,17:00:00,1108.5,1121.5,1094.0,1096.0,14850,13590
10/27/1997,17:00:00,1095.0,1096.5,1026.5,1026.5,14950,14940
10/28/1997,17:00:00,1014.5,1085.5,996.5,1077.0,16858,14796
10/29/1997,17:00:00,1076.5,1094.5,1068.75,1077.5,15742,15354
10/30/1997,17:00:00,1077.0,1081.0,1054.5,1054.75,13828,15041
10/31/1997,17:00:00,1054.5,1078.75,1042.25,1076.25,14343,15041
11/03/1997,17:00:00,1076.25,1100.5,1073.75,1099.25,11431,15073
11/04/1997,17:00:00,1098.5,1099.25,1088.75,1095.0,11255,15299
11/05/1997,17:00:00,1094.0,1108.5,1090.75,1099.5,10763,15517
11/06/1997,17:00:00,1099.0,1100.0,1089.75,1094.5,8763,15339
11/07/1997,17:00:00,1082.5,1095.5,1069.0,1086.75,13406,15860
11/10/1997,17:00:00,1082.5,1093.0,1075.25,1078.5,9856,15564
11/11/1997,17:00:00,1078.5,1085.25,1075.0,1079.25,6634,15508
11/12/1997,17:00:00,1079.0,1082.0,1058.0,1061.25,13836,16443
11/13/1997,17:00:00,1059.5,1075.0,1055.0,1072.5,13872,16425
11/14/1997,17:00:00,1072.5,1087.25,1067.5,1085.25,11339,16821
11/17/1997,17:00:00,1084.5,1107.0,1084.5,1102.75,9785,16590
11/18/1997,17:00:00,1102.5,1107.0,1092.5,1095.25,10738,16724
11/19/1997,17:00:00,1094.75,1104.0,1088.75,1100.25,11297,16891
11/20/1997,17:00:00,1100.5,1118.0,1099.5,1115.5,10088,17424
11/21/1997,17:00:00,1115.0,1123.5,1102.25,1102.25,9752,17388
11/24/1997,17:00:00,1121.0,1121.5,1099.5,1101.75,7706,16888
11/25/1997,17:00:00,1102.5,1110.0,1097.25,1104.25,10625,16756
11/26/1997,17:00:00,1104.5,1112.25,1101.25,1108.0,6841,17088
11/28/1997,17:00:00,1107.25,1114.75,1102.25,1102.25,2108,16750
12/01/1997,17:00:00,1108.0,1132.25,1107.5,1132.25,10419,16968
12/02/1997,17:00:00,1132.5,1134.5,1124.5,1127.0,10002,16908
12/03/1997,17:00:00,1127.25,1136.25,1120.25,1130.0,12103,17130
12/04/1997,17:00:00,1130.0,1138.25,1125.0,1129.0,12123,17283
12/05/1997,17:00:00,1128.75,1141.5,1115.5,1139.75,13949,17976
12/08/1997,17:00:00,1130.25,1143.0,1130.25,1137.75,251,559
12/09/1997,17:00:00,1138.0,1139.0,1127.75,1132.25,522,663
12/10/1997,17:00:00,1132.25,1133.0,1116.25,1122.25,877,883
12/11/1997,17:00:00,1123.25,1123.75,1104.25,1108.0,10233,1290
12/12/1997,17:00:00,1107.0,1116.75,1100.0,1108.0,11582,3268
12/15/1997,17:00:00,1109.0,1120.75,1102.75,1116.75,10500,3769
12/16/1997,17:00:00,1115.75,1128.0,1115.5,1122.5,8981,4675
12/17/1997,17:00:00,1122.5,1130.25,1116.75,1117.5,9562,4611
12/18/1997,17:00:00,1117.5,1118.75,1102.75,1107.25,12068,4800
12/19/1997,17:00:00,1106.25,1106.75,1077.25,1099.5,15864,5685
12/22/1997,17:00:00,1099.0,1110.5,1090.5,1104.75,9383,6405
12/23/1997,17:00:00,1105.0,1107.25,1086.25,1088.0,6096,5873
12/24/1997,17:00:00,1087.0,1095.75,1083.75,1084.0,3671,6022
12/26/1997,17:00:00,1086.25,1091.75,1085.25,1088.0,1198,5973
12/29/1997,17:00:00,1087.75,1108.75,1083.5,1108.25,6325,5969
12/30/1997,17:00:00,1108.75,1122.75,1107.75,1121.75,6539,6254
12/31/1997,17:00:00,1121.75,1126.25,1117.5,1121.25,5283,5861
01/02/1998,17:00:00,1121.5,1127.0,1114.75,1127.0,4631,5968
01/05/1998,17:00:00,1126.5,1135.0,1118.75,1129.25,12472,5918
01/06/1998,17:00:00,1129.25,1130.0,1112.75,1113.75,12823,6750
01/07/1998,17:00:00,1113.0,1117.0,1102.75,1115.75,13414,6882
01/08/1998,17:00:00,1116.0,1119.5,1102.75,1103.75,13703,7490
01/09/1998,17:00:00,1104.25,1105.25,1067.75,1072.75,18352,8034
01/12/1998,17:00:00,1071.25,1090.5,1056.75,1088.0,19716,9051
01/13/1998,17:00:00,1087.75,1102.25,1086.75,1101.75,12443,8383
